recording_id,composition_id,title,artist,album,release_year,duration,source_dataset,source_track_id,audio_path,metadata_verified
26e19461-e4fe-4fba-9d13-e234192f84b1,5515c9e3-d0f6-493b-8590-6c6cbc94eec1,Lo-Fi Beats Vol.1,The Synthetics,YouTube Creator Music Store,2024,125.6,Creator Music,CM_1001,simulated/CM_1001.mp3,True
85b3e36a-d40d-4cc1-8aea-8d2266ce85e6,daaceadb-48f4-41b9-bbbc-70462daa656c,Cyberpunk Dreams Vol.2,DJ Shadow,YouTube Creator Music Store,2024,255.9,Creator Music,CM_1002,simulated/CM_1002.mp3,True
7de37fab-cb82-456b-83c8-9d989ed71663,663cd92a-9516-4102-b816-97e01e139d94,Lo-Fi Beats Vol.3,Acoustic Duo,YouTube Creator Music Store,2024,255.9,Creator Music,CM_1003,simulated/CM_1003.mp3,True
5697e89b-b677-4d62-b4d8-7cdd67dd99a7,8696572c-c7ea-4249-82b9-008237629c50,Lo-Fi Beats Vol.4,Acoustic Duo,YouTube Creator Music Store,2024,169.4,Creator Music,CM_1004,simulated/CM_1004.mp3,True
5e508cad-5d85-4a02-946b-0d50b52fc45c,ba0a8fc2-6c71-443a-8bd8-68b56d7258f9,Midnight City Vol.5,BeatMaker Pro,YouTube Creator Music Store,2024,143.3,Creator Music,CM_1005,simulated/CM_1005.mp3,True
7d151dce-1c07-4e24-a06c-ce8daa6d227d,026d8d79-76e8-42d7-87c9-86b8440b259a,Golden Hour Vol.6,BeatMaker Pro,YouTube Creator Music Store,2024,261.6,Creator Music,CM_1006,simulated/CM_1006.mp3,True
c05f7d9f-3dee-489b-9300-bfc040e3715f,73fb052f-7f8e-4941-b107-d593cc006b7f,Summer Vibe Vol.7,Acoustic Duo,YouTube Creator Music Store,2024,131.6,Creator Music,CM_1007,simulated/CM_1007.mp3,True
a62d763d-2d27-46b5-a85a-5b92ab9a444d,b7c82154-b3d7-41d3-971e-710beee7fd8e,Golden Hour Vol.8,The Synthetics,YouTube Creator Music Store,2024,169.2,Creator Music,CM_1008,simulated/CM_1008.mp3,True
ccfa5c7e-30e2-4cab-8223-4cbb3ccc0155,ec63cd9e-6ef5-456b-b3c6-1f9e1ccd2298,Midnight City Vol.9,The Synthetics,YouTube Creator Music Store,2024,129.7,Creator Music,CM_1009,simulated/CM_1009.mp3,True
80df5cfb-9088-4775-9971-b640b0897aa0,916d0212-b180-4acc-8eb2-c7252d1cf245,Acoustic Journey Vol.10,BeatMaker Pro,YouTube Creator Music Store,2024,214.6,Creator Music,CM_1010,simulated/CM_1010.mp3,True
58cec6ed-d021-4403-a3c9-75c9eb4dc8c5,46047d65-9215-4fc7-80f7-ffa80b2151f5,Golden Hour Vol.11,DJ Shadow,YouTube Creator Music Store,2024,149.1,Creator Music,CM_1011,simulated/CM_1011.mp3,True
f27002cd-6359-477a-bf74-cacd84f4de8f,42c4652e-e5e6-419c-9b83-62fc6e69c9cb,Acoustic Journey Vol.12,The Synthetics,YouTube Creator Music Store,2024,260.1,Creator Music,CM_1012,simulated/CM_1012.mp3,True
a92529cf-beed-4850-9947-f4138549346e,40c2089f-bfab-49fd-ac3d-7fd28220f7b6,Cyberpunk Dreams Vol.13,Luna Vance,YouTube Creator Music Store,2024,174.7,Creator Music,CM_1013,simulated/CM_1013.mp3,True
60204d27-fac3-4a3a-bd8b-284be3c0754a,903684d3-5f11-46a2-9ac1-8cd78d45066b,Summer Vibe Vol.14,BeatMaker Pro,YouTube Creator Music Store,2024,292.0,Creator Music,CM_1014,simulated/CM_1014.mp3,True
099c5cbc-5aa2-4a49-852d-3e613e19fa8c,d3a20d33-2cf3-4751-914d-83d60dd8fba5,Cyberpunk Dreams Vol.15,The Synthetics,YouTube Creator Music Store,2024,166.3,Creator Music,CM_1015,simulated/CM_1015.mp3,True
973088a9-e147-4c56-87af-8bc46456ad03,bb4125f3-9631-4209-a117-85657b1c8d1e,Summer Vibe Vol.16,Acoustic Duo,YouTube Creator Music Store,2024,296.9,Creator Music,CM_1016,simulated/CM_1016.mp3,True
55ed0516-3e9e-4bb9-aafe-4008f5138c5a,c7142b9a-d38e-4b33-b553-11734d58ec4c,Midnight City Vol.17,Acoustic Duo,YouTube Creator Music Store,2024,221.6,Creator Music,CM_1017,simulated/CM_1017.mp3,True
350d80b1-3ed7-4dd1-ad64-e5831ce85ce5,8ceae917-e677-4961-8492-e0b28a68c645,Neon Lights Vol.18,Acoustic Duo,YouTube Creator Music Store,2024,292.7,Creator Music,CM_1018,simulated/CM_1018.mp3,True
62c3f13c-b9c7-421c-8a16-9a846ae169d0,b767c9b6-1b85-4853-9803-68a396cb2c07,Acoustic Journey Vol.19,The Synthetics,YouTube Creator Music Store,2024,220.1,Creator Music,CM_1019,simulated/CM_1019.mp3,True
b73c3fe0-2ebb-4864-bded-a94dde9f713c,d5cdc77d-343d-40fc-aee0-d8d3661fa3cf,Golden Hour Vol.20,Luna Vance,YouTube Creator Music Store,2024,213.0,Creator Music,CM_1020,simulated/CM_1020.mp3,True
b6a0f155-3b01-435c-b946-969778efd77e,78127d5d-2356-42b5-bedb-4865d619fb9d,Cyberpunk Dreams Vol.21,The Synthetics,YouTube Creator Music Store,2024,233.0,Creator Music,CM_1021,simulated/CM_1021.mp3,True
ae61d247-f6e7-4c5c-afea-6a7d8c61ce91,5fb1c451-997f-4282-a571-d18a54ec8204,Lo-Fi Beats Vol.22,Luna Vance,YouTube Creator Music Store,2024,221.6,Creator Music,CM_1022,simulated/CM_1022.mp3,True
71c06297-498e-4f84-b1c9-9d13a4cf41cd,4f7a8897-c4a4-4d5b-a317-80e6039afd0b,Lo-Fi Beats Vol.23,Luna Vance,YouTube Creator Music Store,2024,161.8,Creator Music,CM_1023,simulated/CM_1023.mp3,True
cc717c96-8c90-4823-96ba-32045a9ea8ed,7024a144-2234-413e-ae4d-673a1b4b70c9,Golden Hour Vol.24,BeatMaker Pro,YouTube Creator Music Store,2024,203.9,Creator Music,CM_1024,simulated/CM_1024.mp3,True
d020997d-d69d-497b-8bfb-292dadf30021,127d9ceb-1176-4f60-83aa-66ae449ac1d5,Summer Vibe Vol.25,The Synthetics,YouTube Creator Music Store,2024,280.4,Creator Music,CM_1025,simulated/CM_1025.mp3,True
e6ab20fb-c633-497c-958c-aabc049d93af,3e611721-9341-4c0d-aa46-e41a1b226b22,Lo-Fi Beats Vol.26,The Synthetics,YouTube Creator Music Store,2024,270.5,Creator Music,CM_1026,simulated/CM_1026.mp3,True
